domain,domain_label,accession,title,date,year,quarter,month,institution,affiliation,country,email
bioimages,BioImages,S-JCBD-201405099,Dense fibrillar collagen is a potent inducer of invadopodia via a specific signaling network,2015-02-02,2015,1,2,Other Norway,Vira V. Artym | Stephen Swatkoski | Kazue Matsumoto | Catherine B. Campbell | Ryan J. Petrie | Emilios K. Dimitriadis | Xin Li | Susette C. Mueller | Thomas H. Bugge | Marjan Gucek | Kenneth M. Yamada,,NA
bioimages,BioImages,S-JCBD-201409024,Cell motion predicts human epidermal stemness,2015-04-20,2015,2,4,Other Norway,Daisuke Nanba | Fujio Toki | Sota Tate | Matome Imai | Natsuki Matsushita | Ken Shiraishi | Koji Sayama | Hiroshi Toki | Shigeki Higashiyama | Yann Barrandon,,NA
bioimages,BioImages,S-JCBD-201411124,A formin-nucleated actin aster concentrates cell wall hydrolases for cell fusion in fission yeast,2015-03-30,2015,1,3,Other Norway,Omaya Dudin | Felipe O. Bendezú | Raphael Groux | Thierry Laroche | Arne Seitz | Sophie G. Martin,,NA
bioimages,BioImages,S-JCBD-201502032,Rootletin organizes the ciliary rootlet to achieve neuron sensory function inDrosophila,2015-10-19,2015,4,10,Other Norway,Jieyan V. Chen | Ling-Rong Kao | Swadhin C. Jana | Elena Sivan-Loukianova | Susana Mendonça | Oscar A. Cabrera | Priyanka Singh | Clemens Cabernard | Daniel F. Eberl | Monica Bettencourt-Dias | Timothy L. Megraw,,NA
bioimages,BioImages,S-JCBD-201505119,Vitamin D receptor–retinoid X receptor heterodimer signaling regulates oligodendrocyte progenitor cell differentiation,2015-12-07,2015,4,12,Other Norway,Alerie Guzman de la Fuente | Oihana Errea | Peter van Wijngaarden | Ginez A. Gonzalez | Christophe Kerninon | Andrew A. Jarjour | Hilary J. Lewis | Clare A. Jones | Brahim Nait-Oumesmar | Chao Zhao | Jeffrey K. Huang | Charles ffrench-Constant | Robin J.M. Franklin,,NA
bioimages,BioImages,S-JCBD-201506055,Synthetic matrices reveal contributions of ECM biophysical and biochemical properties to epithelial morphogenesis,2015-12-28,2015,4,12,Other Norway,Nduka O. Enemchukwu | Ricardo Cruz-Acuña | Tom Bongiorno | Christopher T. Johnson | José R. García | Todd Sulchek | Andrés J. García,,NA
bioimages,BioImages,S-JCBD-201506110,A dynamic formin-dependent deep F-actin network in axons,2015-07-27,2015,3,7,Other Norway,Archan Ganguly | Yong Tang | Lina Wang | Kelsey Ladt | Jonathan Loi | Bénédicte Dargent | Christophe Leterrier | Subhojit Roy,,NA
bioimages,BioImages,S-JCBD-201506107,An organelle-exclusion envelope assists mitosis and underlies distinct molecular crowding in the spindle region,2015-08-24,2015,3,8,Norwegian Institute for Nature Research,Nina Schweizer | Nisha Pawar | Matthias Weiss | Helder Maiato,,NA
bioimages,BioImages,S-JCBD-201704045,FiloQuant reveals increased filopodia density during breast cancer progression,2017-08-01,2017,3,8,Other Norway,Guillaume Jacquemet | Ilkka Paatero | Alexandre F. Carisey | Artur Padzik | Jordan S. Orange | Hellyeh Hamidi | Johanna Ivaska,,NA
bioimages,BioImages,S-JCBD-201707161,Phosphorylation of the synaptonemal complex protein SYP-1 promotes meiotic chromosome segregation,2017-12-08,2017,4,12,Other Norway,Aya Sato-Carlton | Chihiro Nakamura-Tabuchi | Stephane Kazuki Chartrand | Tomoki Uchino | Peter Mark Carlton,,NA
biostudies-other,BioStudies,S-EPMC5828970,Biomarkers of Renal Injury in Cirrhosis: Association with Acute Kidney Injury and Recovery after Liver Transplantation.,2018-01-01,2018,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6304250,Cytoprotective effects of molsidomine against methotrexate-induced hepatotoxicity: an experimental rat study.,2019-01-01,2019,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC1363354,Case report of 5 siblings: malnutrition? Rickets? DiGeorge syndrome? Developmental delay?,2006-01-01,2006,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC121373,Use of licensed vaccines for active immunization of the immunocompromised host.,1998-01-01,1998,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC1079835,Medical healthcare use in Parkinson's disease: survey in a cohort of ambulatory patients in Italy.,2005-03-01,2005,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC117284,Investigating the structural basis of purine specificity in the structures of MS2 coat protein RNA translational operator hairpins.,2002-06-01,2002,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC1303360,Mechanism of fluorescence and conformational changes of the sarcoplasmic calcium binding protein of the sand worm Nereis diversicolor upon Ca2+ or Mg2+ binding.,2003-09-01,2003,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4182371,The National Hospital Discharge Survey and Nationwide Inpatient Sample: the databases used affect results in THA research.,2014-11-01,2014,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC2538877,Epitope-specific TCRbeta repertoire diversity imparts no functional advantage on the CD8+ T cell response to cognate viral peptides.,2008-02-01,2008,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC16343,Prebiotic cytosine synthesis: a critical analysis and implications for the origin of life.,1999-04-01,1999,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC3415891,Effects of short-course zidovudine on the selection of nevirapine-resistant HIV-1 in women taking single-dose nevirapine.,2012-06-01,2012,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4179036,Application of service oriented architecture for sensors and actuators in district heating substations.,2014-08-01,2014,3,8,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6260422,Gross tumour delineation on computed tomography and positron emission tomography-computed tomography in oesophageal cancer: A nationwide study.,2019-01-01,2019,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC3986735,Evaluation of asymmetric dimethylarginine (ADMA) levels in children with growth hormone deficiency.,2014-01-01,2014,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC3906973,Influence of spatial distribution and size of clones on the realized outcrossing rate of the marsh cinquefoil (Comarum palustre).,2014-02-01,2014,1,2,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4231835,Auditory driving of the autonomic nervous system: Listening to theta-frequency binaural beats post-exercise increases parasympathetic activation and sympathetic withdrawal.,2014-01-01,2014,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6282155,Association and Interaction Analysis of Body Mass Index and Triglycerides Level with Blood Pressure in Elderly Individuals in China.,2018-01-01,2018,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6286770,There Is No Impact of Diabetes on the Endothelial Function of Chronic Kidney Disease Patients.,2018-01-01,2018,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6290421,Procalcitonin Level in Non-Small Cell Lung Cancer Patients among Indonesian Population.,2018-11-01,2018,4,11,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4175535,Surgery for small asymptomatic abdominal aortic aneurysms.,2012-03-01,2012,1,3,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6284847,Acute Bacterial Gastroenteritis as a Healthcare-Associated Infection in Pediatrics.,2017-07-01,2017,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6259550,The effect of blended training on the quality of life of children with nephrotic syndrome.,2018-09-01,2018,3,9,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4175533,Zuclopenthixol acetate for acute schizophrenia and similar serious mental illnesses.,2012-04-01,2012,2,4,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC6284495,SGLT2 knockout prevents hyperglycemia and is associated with reduced pancreatic ?-cell death in genetically obese mice.,2018-01-01,2018,1,1,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4241422,Functional adaptation of tendon and skeletal muscle to resistance training in three patients with genetically verified classic Ehlers Danlos Syndrome.,2014-07-01,2014,3,7,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4105695,Antipsychotic medication for early episode schizophrenia.,2011-06-01,2011,2,6,Other Norway,,,NA
biostudies-other,BioStudies,S-EPMC4201662,A microwave resonator for limiting depth sensitivity for electron paramagnetic resonance spectroscopy of surfaces.,2014-10-01,2014,4,10,Other Norway,,,NA
